辞書マスタ	HT辞書マスタ	辞書マスタ	辞書マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書検証マスタ	辞書カルチャマスタ	辞書カルチャマスタ	HT辞書カルチャマスタ	辞書カルチャマスタ	辞書カルチャマスタ	HT辞書カルチャマスタ	辞書カルチャマスタ	辞書カルチャマスタ	HT辞書カルチャマスタ
DICT_NM	DICT_NM	DATA_TYPE	SYSTEM_TYPE	INPUT_LIMIT	LIMIT_MESSAGE_CD	MIN_CHARS	MAX_CHARS	MIN_NUMBER	MAX_NUMBER	INTEGER_LENGTH	DECIMAL_LENGTH	CULTURE_CD	DICT_NM	DICT_NM	CULTURE_CD	DICT_NM	DICT_NM	CULTURE_CD	DICT_NM	DICT_NM
行数			wms									ja-JP	行数		en-US	Number of Lines		zh-CN	行数	
アイテム数			wms									ja-JP	アイテム数		en-US	Number of Items		zh-CN	项目数	
引当数			wms									ja-JP	引当数		en-US	Allocated Qty		zh-CN	分配数	
個口数		number	wms					1		3	0	ja-JP	個口数		en-US	Number of Packages		zh-CN	个体数	
重量(グロス)(g)			wms									ja-JP	重量(グロス)(g)		en-US	Gross Weight (g)		zh-CN	重量(毛重)(g)	
一次ピッキングリスト発行(％)		number	wms							3		ja-JP	一次ピッキングリスト発行(％)		en-US	Primary Picking List Issued (%)		zh-CN	一次分拣清单发行(％)	
二次ピッキングリスト発行(％)		number	wms							3		ja-JP	二次ピッキングリスト発行(％)		en-US	Secondary Picking List Issued (%)		zh-CN	二次分拣清单发行(％)	
出荷検品(％)		number	wms							3		ja-JP	出荷検品(％)		en-US	Shipping Inspection (%)		zh-CN	出库检品(％)	
送り状データ出力(％)		number	wms							3		ja-JP	送り状データ出力(％)		en-US	Print BOL (%)		zh-CN	送货单数据输出(％)	
納品明細発行(％)		number	wms							3		ja-JP	納品明細発行(％)		en-US	Print Shipping Confirmation (%)		zh-CN	交货明细单发行(％)	
出荷確定(％)		number	wms							3		ja-JP	出荷確定(％)		en-US	Shipping Confirmation (%)		zh-CN	发货确定(％)	
出庫指示			wms									ja-JP	出庫指示		en-US	Instruct Picking		zh-CN	出库指示	
出庫指示解除			wms									ja-JP	出庫指示解除		en-US	Cancel Picking		zh-CN	出库指示解除	
積込リスト			wms									ja-JP	積込リスト		en-US	Loading List		zh-CN	装载清单	
進捗率表示切替(ピース⇔行数)			wms									ja-JP	進捗率表示切替(ピース⇔行数)		en-US	Change Progress View		zh-CN	进度表示转换(单件⇔行数)	
出庫指示一覧			wms									ja-JP	出庫指示一覧		en-US	Shipping Instruction		zh-CN	出库指示一览	
ゾーンマスタメンテナンス			wms									ja-JP	ゾーンマスタメンテナンス		en-US	Zone Master		zh-CN	区域主表维护	
仕入先	仕入先	text	wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		10					ja-JP	仕入先	仕入先	en-US	Supplier	Supplier	zh-CN	收货方	收货方
入庫ラベル発行			wms									ja-JP	入庫ラベル発行		en-US	Print Receiving Label		zh-CN	入库标签发行	
作業日/出荷日			wms									ja-JP	作業日/出荷日		en-US	Work/Ship Date		zh-CN	作业日/出库日	
日付(From)			wms									ja-JP	日付(From)		en-US	Date (From)		zh-CN	日期(From)	
日付(To)			wms									ja-JP	日付(To)		en-US	Date (To)		zh-CN	日期(To)	
梱包明細修正			wms									ja-JP	梱包明細修正		en-US	Modify Packing Details		zh-CN	打包明细修正	
荷材No.			wms									ja-JP	荷材No.		en-US	Box No.		zh-CN	荷材No.	
荷材			wms									ja-JP	荷材		en-US	Box		zh-CN	荷材	
投入数		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError			0.001		7	3	ja-JP	投入数		en-US	Input Qty		zh-CN	放入数	
アイテム別梱包状況・出荷指示数			wms								3	ja-JP	アイテム別梱包状況・出荷指示数		en-US	Ship Instruction Item Qty		zh-CN	项目别打包状况・出库指示数	
アイテム別梱包状況・投入数			wms								3	ja-JP	アイテム別梱包状況・投入数		en-US	Input Item Qty		zh-CN	项目别打包状况・放入数	
アイテム別梱包状況・差異数			wms								3	ja-JP	アイテム別梱包状況・差異数		en-US	Discrepancy Item Qty		zh-CN	项目别打包状况・差异数	
変更			wms									ja-JP	変更		en-US	Change		zh-CN	变更	
配送指定日		date	wms									ja-JP	配送指定日		en-US	Specified Delivery Date		zh-CN	配送指定日	
納品指定時間			wms									ja-JP	納品指定時間		en-US	Specified Delivery Time		zh-CN	纳品指定时间	
追加・更新			wms									ja-JP	追加・更新		en-US	Add/Update		zh-CN	追加・更新	
在庫受払問合せ			wms									ja-JP	在庫受払問合せ		en-US	Inventory Activity Inquiry		zh-CN	在库收支查询	
処理日(From)		date	wms									ja-JP	処理日(From)		en-US	Process Date (From)		zh-CN	处理日(From)	
処理日(To)		date	wms									ja-JP	処理日(To)		en-US	Process Date (To)		zh-CN	处理日(To)	
期限日(From)			wms									ja-JP	期限日(From)		en-US	Expiration Date (From)		zh-CN	期限日(From)	
期限日(To)			wms									ja-JP	期限日(To)		en-US	Expiration Date (To)		zh-CN	期限日(To)	
在庫区分名称		text	wms				60					ja-JP	在庫区分名称		en-US	Inventory Class Name		zh-CN	在库区分名称	
前残数			wms									ja-JP	前残数		en-US	Previous Qty		zh-CN	前残数	
受入数		number	wms							7	0	ja-JP	受入数		en-US	Received Qty		zh-CN	受装入数	
払出数		number	wms							7	0	ja-JP	払出数		en-US	Shipped Qty		zh-CN	付出数	
当日在庫数		number	wms							7	0	ja-JP	当日在庫数		en-US	Current Inventory		zh-CN	当日库存数	
ソート順		number	wms							15	0	ja-JP	ソート順		en-US	Sort Order		zh-CN	排序	
商品別出荷一覧			wms									ja-JP	商品別出荷一覧		en-US	Shipping Inquiry (Item)		zh-CN	商品别出库一览	
商品別出荷一覧(参照)			wms									ja-JP	商品別出荷一覧(参照)		en-US	Shipping Inquiry (Item - View Only)		zh-CN	商品类别发货一览(参照)	
棚卸データ作成			wms									ja-JP	棚卸データ作成		en-US	Generate Inventory Count Snapshot		zh-CN	盘点数据作成	
棚卸入力(行追加)			wms									ja-JP	棚卸入力(行追加)		en-US	Inventory Count Entry (Add Line)		zh-CN	盘点输入(行追加)	
棚卸入力			wms									ja-JP	棚卸入力		en-US	Inventory Count Entry		zh-CN	盘点输入	
在庫問合せ			wms									ja-JP	在庫問合せ		en-US	Inventory Detail		zh-CN	在库查询	
在庫表示内容			wms									ja-JP	在庫表示内容		en-US	Inventory Display Contents		zh-CN	库存表示内容	
日付			wms									ja-JP	日付		en-US	Date		zh-CN	日期	
期限日数		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError			0		5	0	ja-JP	期限日数		en-US	Maximum Days to Expiration		zh-CN	期限日数	
引当可能数 0非表示			wms									ja-JP	引当可能数 0非表示		en-US	Available Qty (Hide 0)		zh-CN	分配可能数 0非表示	
出荷検品	出荷検品		wms									ja-JP	出荷検品	出荷検品	en-US	Shipping Inspection	Shipping Inspection	zh-CN	出库检品	出库检品
棚卸作業リスト発行			wms									ja-JP	棚卸作業リスト発行		en-US	Print Inventory Count List		zh-CN	盘点作业清单发行	
在庫表示			wms									ja-JP	在庫表示		en-US	Show Inventory Qty		zh-CN	在库显示	
棚卸履歴検索			wms									ja-JP	棚卸履歴検索		en-US	Inventory Count History Inquiry		zh-CN	盘点履历检索	
棚卸日(From)			wms									ja-JP	棚卸日(From)		en-US	Inventory Count Date (From)		zh-CN	盘点日(From)	
棚卸日(To)			wms									ja-JP	棚卸日(To)		en-US	Inventory Count Date (To)		zh-CN	盘点日(To)	
作業日/出荷日(日付一括変更)			wms									ja-JP	作業日/出荷日(日付一括変更)		en-US	Work/Ship Date (Bulk Update)		zh-CN	作业日/发货日(日期全部变更)	
日付(日付一括変更)			wms									ja-JP	日付(日付一括変更)		en-US	Bulk Change Date		zh-CN	日期(日期全部变更)	
選択行更新(日付一括変更)			wms									ja-JP	選択行更新(日付一括変更)		en-US	Change Selected Date		zh-CN	选择行更新(日期全部变更)	
選択行更新(郵便番号一括変更)			wms									ja-JP	選択行更新(郵便番号一括変更)		en-US	Change Selected Postal Code		zh-CN	选择行更新(邮政编码全部更新)	
配送コース(配送コース一括変更)			wms									ja-JP	配送コース(配送コース一括変更)		en-US	Bulk Change Carrier Service Level		zh-CN	配送方案(配送方案全部变更)	
選択行更新(配送コースCD一括変更)			wms									ja-JP	選択行更新(配送コースCD一括変更)		en-US	Change Selected Carrier Service Level		zh-CN	选择行更新(配送方案CD全部变更)	
指示入力			wms									ja-JP	指示入力		en-US	Instruction Entry		zh-CN	指示输入	
指示修正			wms									ja-JP	指示修正		en-US	Modify Instruction		zh-CN	指示修正	
指示明細			wms									ja-JP	指示明細		en-US	Instruction Detail		zh-CN	指示明细	
出荷検品済			wms									ja-JP	出荷検品済		en-US	Inspected		zh-CN	发货检验完	
出荷確定済			wms									ja-JP	出荷確定済		en-US	Confirmed		zh-CN	发货确定完	
確定	確定		wms									ja-JP	確定	確定	en-US	OK		zh-CN	确定	
調整前数量			wms									ja-JP	調整前数量		en-US	Adjusted Qty (Before)		zh-CN	调整前数量	
調整後数量			wms	^[0-9]*$	inputLimitCheckNumericOnlyError			0		10	0	ja-JP	調整後数量		en-US	Adjusted Qty (After)		zh-CN	调整后数量	
調整数量		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError			1		7	0	ja-JP	調整数量		en-US	Adjusted Qty		zh-CN	调整数量	
在庫調整			wms									ja-JP	在庫調整		en-US	Inventory Adjustment		zh-CN	在库调整	
合計口数			wms									ja-JP	合計口数		en-US	Total Package Qty		zh-CN	合计个体数	
検品数	検品数	number	wms					0.001		7	3	ja-JP	検品数	検品数	en-US	Inspection Qty	Inspection Qty	zh-CN	检品数	检品数
検数	検数	number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError			1		7	0	ja-JP	検数	検数	en-US	Insp qty	Insp qty	zh-CN	检数	检数
検品済数		number	wms							7	3	ja-JP	検品済数		en-US	Inspected Qty		zh-CN	检品完数	
総検品数	総検品数		wms								3	ja-JP	総検品数	総検品数	en-US	Total Inspection Qty	Total Inspection Qty	zh-CN	总检品数	总检品数
検品済総数			wms							7	3	ja-JP	検品済総数		en-US	Total Inspected Qty		zh-CN	检品完总数	
箱登録	箱登録		wms									ja-JP	箱登録	箱登録	en-US	Input Box	Input Box	zh-CN	箱登录	箱登录
クリア			wms									ja-JP	クリア		en-US	Clear		zh-CN	清空	
預託在庫区分			wms									ja-JP	預託在庫区分		en-US	Consignment Inventory Class		zh-CN	寄售在库区分	
ステータス	ステータス		wms									ja-JP	ステータス	ステータス	en-US	Status	Status	zh-CN	状态	状态
出荷ステータス名称		text	wms				7					ja-JP	出荷ステータス名称		en-US	Shipping Status Name		zh-CN	出库状态名称	
納品時間帯CD		text	wms				1					ja-JP	納品時間帯CD		en-US	Delivery Time Code		zh-CN	纳品时间带CD	
納品時間帯名称		text	wms				7					ja-JP	納品時間帯名称		en-US	Delivery Time Name		zh-CN	纳品时间带名称	
トータルピッキングリスト発行			wms									ja-JP	トータルピッキングリスト発行		en-US	Print Batch Picking List		zh-CN	总选货清单发行	
オーダーピッキングリスト発行			wms									ja-JP	オーダーピッキングリスト発行		en-US	Print Order Picking List		zh-CN	选货单发行	
種蒔きリスト発行			wms									ja-JP	種蒔きリスト発行		en-US	Print Batch Picking List (Item)		zh-CN	播种清单发行	
摘み取りリスト発行			wms									ja-JP	摘み取りリスト発行		en-US	Print Batch Picking List (Order)		zh-CN	采摘清单发行	
送り状データ出力			wms									ja-JP	送り状データ出力		en-US	BOL Data Export		zh-CN	送货单数据输出	
ヘッダエラー内容			wms									ja-JP	ヘッダエラー内容		en-US	Error Header		zh-CN	头部错误内容	
明細エラー内容			wms									ja-JP	明細エラー内容		en-US	Error Detail		zh-CN	明细错误内容	
納品先出荷停止フラグ			wms									ja-JP	納品先出荷停止フラグ		en-US	Ship-To Hold Flag		zh-CN	收货方出库停止标签	
商品出荷停止フラグ			wms									ja-JP	商品出荷停止フラグ		en-US	Item Hold Flag		zh-CN	商品出库停止标签	
ピッキングリスト			wms									ja-JP	ピッキングリスト		en-US	Picking List		zh-CN	分拣清单	
出庫作業メッセージ登録			wms									ja-JP	出庫作業メッセージ登録		en-US	Pick Message Entry		zh-CN	出库作业信息登录	
出荷指示キャンセル			wms									ja-JP	出荷指示キャンセル		en-US	Cancel Shipping		zh-CN	出库指示取消	
エラーデータ削除			wms									ja-JP	エラーデータ削除		en-US	Delete Error Data		zh-CN	错误数据删除	
期限切れ			wms									ja-JP	期限切れ		en-US	Expired		zh-CN	过期	
前日残		number	wms							7	0	ja-JP	前日残		en-US	Previous Day Balance		zh-CN	前日剩余	
当日残			wms									ja-JP	当日残		en-US	Balance Today		zh-CN	当日剩余	
出荷確定一覧			wms									ja-JP	出荷確定一覧		en-US	Shipping Confirmation		zh-CN	发货确定一览	
未確定のみ表示			wms									ja-JP	未確定のみ表示		en-US	Show Unconfirmed Only		zh-CN	仅显示未确定	
出荷確定解除			wms									ja-JP	出荷確定解除		en-US	Cancel Shipping Confirmation		zh-CN	出库确定解除	
棚卸前引当可能数		number	wms							7	0	ja-JP	棚卸前引当可能数		en-US	Available Qty (Before)		zh-CN	盘点前分配可能数	
棚卸前引当済数		number	wms							7	0	ja-JP	棚卸前引当済数		en-US	Allocated Qty (Before)		zh-CN	盘点前分配完数	
棚卸前作業中数		number	wms							7	0	ja-JP	棚卸前作業中数		en-US	In Progress Qty (Before)		zh-CN	盘点前作业中数	
棚卸前ケース数		number	wms							7	0	ja-JP	棚卸前ケース数		en-US	Case Qty (Before)		zh-CN	盘点前箱数	
棚卸前ピース数		number	wms							7	0	ja-JP	棚卸前ピース数		en-US	Piece Qty (Before)		zh-CN	盘点前件数	
現時点引当可能数		number	wms							7	0	ja-JP	現時点引当可能数		en-US	Current Available Qty		zh-CN	现实点分配可能数	
現時点引当済数		number	wms							7	0	ja-JP	現時点引当済数		en-US	Current Allocated Qty		zh-CN	现实点分配完数	
現時点作業中数		number	wms							7	0	ja-JP	現時点作業中数		en-US	Current In Progress Qty		zh-CN	现实点作业中数	
現時点調整可能数		number	wms							7	0	ja-JP	現時点調整可能数		en-US	Current Adjustable Qty		zh-CN	现实点调整可能数	
現時点ケース数		number	wms							7	0	ja-JP	現時点ケース数		en-US	Current Case Qty		zh-CN	现时点箱数	
現時点ピース数		number	wms							7	0	ja-JP	現時点ピース数		en-US	Current Piece Qty		zh-CN	现时点单件数	
棚卸数量		number	wms					0.000		7	3	ja-JP	棚卸数量		en-US	Inventory Count Qty		zh-CN	盘点数量	
棚卸ケース数		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError			0		7	0	ja-JP	棚卸ケース数		en-US	Inventory Count Case Qty		zh-CN	盘点箱数	
棚卸ピース数		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError			0		7	0	ja-JP	棚卸ピース数		en-US	Inventory Count Piece Qty		zh-CN	盘点单件数	
棚卸差異数		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError			0		7	0	ja-JP	棚卸差異数		en-US	Discrepancy Qty		zh-CN	盘点差异数	
入力者			wms									ja-JP	入力者		en-US	Input By		zh-CN	输入者	
入力時間			wms									ja-JP	入力時間		en-US	Input Time		zh-CN	输入时间	
棚卸調整入力			wms									ja-JP	棚卸調整入力		en-US	Adjustment Entry		zh-CN	盘点调整输入	
棚卸在庫一括更新			wms									ja-JP	棚卸在庫一括更新		en-US	Inventory Discrepancy Adjustment		zh-CN	盘点在库全部更新	
棚卸入力有			wms									ja-JP	棚卸入力有		en-US	Inventory Count Entered		zh-CN	盘点输入有	
アンマッチ有			wms									ja-JP	アンマッチ有		en-US	Discrepancy		zh-CN	不符合有	
仕入先名称CD		text	wms				10					ja-JP	仕入先名称CD		en-US	Supplier Name CD		zh-CN	供应商名称CD	
入庫No.		text	wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		11					ja-JP	入庫No.		en-US	Put-away No.		zh-CN	入库No.	
伝票数			wms									ja-JP	伝票数		en-US	Number of Slips		zh-CN	单据数	
総ピース数			wms									ja-JP	総ピース数		en-US	Total Piece Qty		zh-CN	总散件数	
伝枚			wms									ja-JP	伝枚		en-US	Number Of Slip		zh-CN	伝枚	
入荷実績入力(予定あり)			wms									ja-JP	入荷実績入力(予定あり)		en-US	Receiving Entry		zh-CN	入库实绩输入(有预定)	
ピッキング(％)		number	wms							3		ja-JP	ピッキング(％)		en-US	Picking (%)		zh-CN	分拣(％)	
商品別入荷一覧			wms									ja-JP	商品別入荷一覧		en-US	Receiving Inquiry (Item)		zh-CN	商品别入库一览	
入庫格納ロケーション			wms									ja-JP	入庫格納ロケーション		en-US	Put-away Location		zh-CN	入库格纳库位	
HT検品完了日時			wms									ja-JP	HT検品完了日時		en-US	HT Inspection Date&Time		zh-CN	HT检品完了日时	
HT検品担当者			wms									ja-JP	HT検品担当者		en-US	HT Inspection By		zh-CN	HT检品担当者	
入荷計上日時			wms									ja-JP	入荷計上日時		en-US	Receiving Registered Date		zh-CN	入库计上日时	
入庫ラベル発行日時			wms									ja-JP	入庫ラベル発行日時		en-US	Receiving Label Issue Date&Time		zh-CN	入库标签发行日时	
枚数		number	wms	^[0-9]*$	inputLimitCheckNumericOnlyError			1		4	0	ja-JP	枚数		en-US	Number of Labels		zh-CN	个数	
汎用ラベル発行			wms									ja-JP	汎用ラベル発行		en-US	Print Generic Label		zh-CN	通用标签发行	
エラー有			wms									ja-JP	エラー有		en-US	Error		zh-CN	错误有	
欠品			wms									ja-JP	欠品		en-US	Shortage		zh-CN	缺货	
在庫数	在庫数	number	wms							7	3	ja-JP	在庫数	在庫数	en-US	Inventory Qty	Inventory Qty	zh-CN	在库数	在库数
総在庫数		number	wms							7	3	ja-JP	総在庫数		en-US	Total Qty		zh-CN	总在库数	
移動先総在庫数		number	wms							7	3	ja-JP	移動先総在庫数		en-US	Total Qty (To)		zh-CN	移动先总在库数	
移動数	移動数	text	wms									ja-JP	移動数	移動数	en-US	Transfer Qty	Transfer Qty	zh-CN	移动数	移动数
